,,20~39세,20~39세,20~39세,65세 이상,65세 이상,65세 이상,인구수,인구수,인구수
구분,,남자,여자,합계,남자,여자,합계,남자,여자,합계
광역시도,시도,,,,,,,,,
서울특별시,관악구,102703,97771,200474,35176,44010,79186,247814,247963,495777
서울특별시,광진구,58699,64553,123252,22657,27905,50562,166469,180630,347099
서울특별시,구로구,61184,60145,121329,33992,40898,74890,212275,213945,426220
서울특별시,금천구,40481,36694,77175,19203,23011,42214,125468,121930,247398
서울특별시,노원구,67688,67126,134814,36305,49377,85682,242171,261758,503929
서울특별시,도봉구,39842,39489,79331,27821,34718,62539,149413,159787,309200
서울특별시,동대문구,58118,60961,119079,26897,33716,60613,169409,178792,348201
서울특별시,동작구,64260,66628,130888,28546,36397,64943,187311,200783,388094
서울특별시,마포구,58658,70155,128813,22065,30133,52198,170867,194325,365192
서울특별시,서대문구,48214,57615,105829,22180,29888,52068,146558,167989,314547
서울특별시,서초구,49685,56489,106174,26341,31555,57896,187435,204867,392302
서울특별시,성동구,46586,48008,94594,19684,25312,44996,139181,147288,286469
서울특별시,성북구,64053,70448,134501,31272,41322,72594,207428,228081,435509
서울특별시,송파구,90041,99043,189084,43793,50771,94564,305449,329271,634720
서울특별시,양천구,54132,54251,108383,30051,36483,66534,211970,221403,433373
서울특별시,영등포구,65419,67329,132748,29033,35570,64603,200027,202957,402984
서울특별시,용산구,35333,37799,73132,15444,20248,35692,106910,114778,221688
서울특별시,은평구,61757,66344,128101,36590,47884,84474,218155,239230,457385
서울특별시,종로구,23215,25156,48371,11410,14449,25859,71367,77490,148857
서울특별시,중구,20576,22356,42932,9885,12750,22635,60657,65653,126310
서울특별시,중랑구,55359,55243,110602,31210,38453,69667,186364,193943,380307
세종특별자치시,세종시,51613,50747,102360,15943,19780,35727,183616,182611,366227
울산광역시,남구,47178,38771,85949,19249,22570,41819,160993,154314,315307
울산광역시,동구,22302,17114,39416,10106,10822,20929,81916,73662,155578
울산광역시,북구,31891,26251,58142,8726,10550,19277,112223,103926,216149
울산광역시,울주군,31281,22857,54138,15297,19091,34390,117279,106885,224164
울산광역시,중구,26716,22556,49272,15390,18962,34353,105796,103759,209555
인천광역시,강화군,5479,4261,9740,10255,12349,22608,32927,32907,65834
인천광역시,계양구,40858,37911,78769,17881,22747,40628,143944,147023,290967
인천광역시,남동구,74254,66637,140891,32923,43013,75936,260262,260903,521165
인천광역시,동구,7221,6099,13320,6113,8263,14378,30640,30413,61053
인천광역시,미추홀구,63235,54895,118130,31192,40687,71879,207524,204498,412022
인천광역시,부평구,70314,66169,136483,33280,43486,76766,244210,250431,494641
인천광역시,서구,80773,73040,153813,27871,34855,62726,279909,271117,551026
인천광역시,연수구,57671,55985,113656,18164,22408,40572,198779,200815,399594
인천광역시,옹진군,2926,1208,4134,2513,2801,5317,10912,8072,18984
인천광역시,중구,21412,18982,40394,9384,11955,21339,73095,68663,141758
전라남도,강진군,2596,2078,4674,4613,6846,11466,15507,16434,31941
전라남도,고흥군,4120,2891,7011,10098,14751,24853,28758,30115,58873
전라남도,곡성군,2469,1894,4363,3783,5826,9609,13177,13604,26781
전라남도,광양시,19593,15001,34594,8898,11438,20337,75350,68876,144226
전라남도,구례군,1615,1354,2969,3489,5294,8784,11325,12218,23543
전라남도,나주시,14728,13092,27820,10521,15301,25822,57482,57656,115138
전라남도,담양군,4545,3498,8043,5685,8096,13783,21830,22204,44034
전라남도,목포시,27649,23409,51058,16910,22894,39804,110831,110347,221178
전라남도,무안군,12108,10619,22727,7071,9799,16870,45409,44685,90094
전라남도,보성군,2594,2094,4688,5955,8981,14939,17798,19183,36981
전라남도,순천시,35737,31895,67632,19300,25327,44631,136395,137432,273827
전라남도,신안군,2965,1577,4542,5596,7489,13085,18099,15901,34000
전라남도,여수시,35278,25897,61175,23891,30497,54390,138498,130189,268687
전라남도,영광군,4859,3943,8802,5992,8656,14648,24440,24541,48981
전라남도,영암군,7887,4670,12557,5572,8137,13710,30212,25786,55998
전라남도,완도군,5359,2880,8239,6452,8741,15194,24724,22486,47210
전라남도,장성군,4169,3037,7206,5112,7404,12518,20446,20158,40604
