구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,cctv,범죄,검거율
강남구,0.9999999999999998,0.9411764705882353,0.9166666666666666,1.0,1.0,77.728285077951,85.71428571428571,76.92307692307693,42.85714285714285,86.48459383753502,557865,0.5804271642780959,0.9715686274509803,73.9414768819983
강동구,0.1556195965417867,0.05882352941176466,0.16666666666666666,0.4675278076785073,0.4379692527708259,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,438225,0.2304752125049917,0.25732137061391025,74.01688622246824
강북구,0.14697406340057634,0.5294117647058822,0.41666666666666663,0.1331180480803732,0.41544511977118337,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,327511,0.253731935721243,0.32832313252493633,81.38870798725817
강서구,0.46109510086455324,0.4705882352941176,0.41666666666666663,0.37064944384642984,0.6149445834823024,72.90076335877863,100.0,100.0,60.1145038167939,84.75210477081384,608361,0.1497466142635704,0.46678880603081396,83.55347438927728
관악구,0.6282420749279538,0.41176470588235287,0.5833333333333334,0.5895227843559383,0.6474794422595638,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,522292,0.403797109662794,0.5720684681518284,73.72445213236658
광진구,0.39769452449567716,0.5294117647058822,0.16666666666666666,0.7043415859346969,0.40686449767608146,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,371671,0.2362304296003723,0.44099580789580084,83.38304220564629
구로구,0.515850144092219,0.588235294117647,0.5,0.4564047362755651,0.5434393993564532,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,440396,0.4277968010608634,0.5207859147683769,65.12941584859752
금천구,0.14121037463976943,0.05882352941176466,0.08333333333333334,0.18083961248654468,0.20271719699678226,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,253344,0.5320828596690665,0.1333848093736389,84.78578583225503
노원구,0.2737752161383285,0.11764705882352938,0.6666666666666666,0.405453893074991,0.4419020378977475,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,555803,0.2817545065427858,0.3810889745202526,76.6954584605069
도봉구,0.0,0.23529411764705882,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,345041,0.2391020197599705,0.06372549019607843,86.5186334244544
